# t, hp, hx
1.010400000000000013e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.019575237199999915e-02 -2.414444388300000192e-03 -4.236414840700000173e-08
1.028452950999999942e-02 -2.505194375699999840e-03 -3.289546220800000137e-07
1.037331106799999937e-02 -2.120454254199999940e-03 -1.073341575000000103e-06
1.046213742600000073e-02 -2.235141106500000176e-03 -5.209434501599999968e-07
1.055126434799999978e-02 -2.337426403599999862e-03 2.377265079300000165e-06
1.064012571999999913e-02 -2.522820391600000094e-03 4.994343207600000354e-06
1.072925959799999988e-02 -2.521963052799999945e-03 4.072335322599999997e-06
1.081899488699999967e-02 -2.435914330500000159e-03 -4.627367972899999948e-07
1.090938121200000013e-02 -2.545594741199999796e-03 -3.980446777400000086e-06
1.099897845000000034e-02 -2.301915349100000074e-03 -3.471149249800000099e-06
1.108739727299999991e-02 -2.201243088099999815e-03 -6.819522557800000199e-08
1.117704866700000056e-02 -2.505182528299999996e-03 1.677828799900000056e-06
1.126593648300000007e-02 -2.603920119799999801e-03 -1.751141788199999960e-06
1.135474913200000026e-02 -2.465450883300000090e-03 -3.961178793099999777e-06
1.144352276200000067e-02 -2.742847013399999940e-03 2.700981523099999918e-06
1.153231574800000006e-02 -2.616092089600000146e-03 1.003234452700000076e-05
1.162129899700000031e-02 -2.146069485400000157e-03 5.628196559300000088e-06
1.171011658599999984e-02 -2.296984601999999941e-03 -1.499765440699999904e-06
1.179887302100000000e-02 -2.532858761199999979e-03 -3.843574722099999786e-07
1.188767448800000064e-02 -2.856857562800000153e-03 -9.531251263300000264e-07
1.197656763099999924e-02 -2.330537444799999931e-03 -8.591353285899999901e-06
1.206499418699999958e-02 -2.125853551300000040e-03 -1.091838379899999972e-05
1.215389867500000012e-02 -2.710507031100000200e-03 -3.552806098699999875e-06
1.224270108699999915e-02 -2.134346265399999793e-03 4.443280101399999778e-07
1.233151456899999991e-02 -2.579532178999999984e-03 -1.864568428899999970e-06
1.242032166400000061e-02 -3.263382550600000057e-03 -2.307504603299999804e-06
1.250927097399999986e-02 -1.570836897699999990e-03 2.146921741300000143e-06
1.259809209199999960e-02 -1.570350071000000021e-03 9.558168346299999985e-06
1.268687289800000083e-02 -3.649447810200000079e-03 1.449273439000000062e-05
1.277568870399999924e-02 -2.714562069200000122e-03 1.376539247199999933e-05
1.286454995500000038e-02 -4.282998167199999931e-04 3.259628340200000135e-06
