# t, hp, hx
1.010400000000000013e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.019547965599999946e-02 -2.448829817700000182e-03 -4.753304082099999748e-08
1.028429722500000081e-02 -2.428214633599999877e-03 -2.809451959799999921e-07
1.037312625200000060e-02 -2.114181493399999810e-03 -7.607629924700000454e-07
1.046196219500000052e-02 -2.243788635300000139e-03 -7.803129053099999571e-07
1.055070912399999963e-02 -2.332106310099999955e-03 -5.364323812500000120e-09
1.063981944100000042e-02 -2.518907359800000040e-03 1.024641019500000094e-06
1.072870322699999955e-02 -2.522635589100000186e-03 1.919472681999999798e-06
1.081771522799999941e-02 -2.424394572100000041e-03 2.317567359800000088e-06
1.090694189899999930e-02 -2.547687493600000151e-03 1.170115695099999968e-06
1.099576118499999942e-02 -2.315839501100000128e-03 -1.254598857199999945e-06
1.108432910000000000e-02 -2.193157302900000053e-03 -4.163778837000000049e-06
1.117343360099999974e-02 -2.486376993799999970e-03 -7.671278900399999286e-06
1.126358469600000078e-02 -2.599264108600000088e-03 -9.087936115100000376e-06
1.135239851400000020e-02 -2.461107166599999993e-03 -5.712870872000000188e-06
1.144131866200000062e-02 -2.729645668000000094e-03 1.274440033899999912e-06
1.153050753300000064e-02 -2.629722671000000057e-03 8.450051466999999172e-06
1.161930300600000007e-02 -2.171482741200000000e-03 1.469550771899999989e-05
1.170804294500000023e-02 -2.337123053000000200e-03 1.888606448700000078e-05
1.179680189900000030e-02 -2.563873071199999822e-03 1.555003422399999898e-05
1.188554877400000050e-02 -2.869835674299999785e-03 3.550791893000000085e-06
1.197428997399999952e-02 -2.338819953100000192e-03 -1.116058935399999963e-05
1.206302022299999936e-02 -2.088925942699999816e-03 -2.317384178699999917e-05
1.215178766500000021e-02 -2.683120610600000025e-03 -2.678234087899999995e-05
1.224058700800000066e-02 -2.126854885900000131e-03 -1.837058575999999909e-05
1.232940851499999928e-02 -2.535098439399999844e-03 -4.576032750200000048e-06
1.241820787299999923e-02 -3.278309554699999993e-03 6.893370165899999633e-06
1.250701154500000016e-02 -1.640214522699999901e-03 1.570736899000000012e-05
1.259582730200000007e-02 -1.550131805600000068e-03 2.192097210100000103e-05
1.268461788500000083e-02 -3.643706804500000066e-03 1.962224227200000081e-05
1.277336531600000054e-02 -2.806872903399999959e-03 6.352203734700000021e-06
1.286215918599999987e-02 -4.481711741700000122e-04 -8.232149732099999770e-06
1.295094437999999917e-02 -1.941864817100000034e-03 -1.307745960799999974e-05
1.303905010200000041e-02 -4.161377055299999780e-03 -1.083967443399999996e-05
1.312788572899999985e-02 -2.603206761299999873e-03 -8.873301719399999678e-06
1.321662560800000025e-02 -3.434136931299999968e-04 -5.590299497900000299e-06
1.330537383500000025e-02 -9.905680794800001028e-04 3.298172691100000041e-07
1.339412149599999990e-02 -3.473858589199999795e-03 4.015753122400000026e-06
1.348287630400000006e-02 -3.641375850499999935e-03 4.789437426399999733e-06
1.357164632400000015e-02 -1.494888600800000017e-03 7.061419698099999804e-06
1.366040311199999933e-02 -2.880975454300000100e-04 1.085173053200000001e-05
1.374916863700000047e-02 -1.216224282000000082e-03 1.553453868599999918e-05
1.383792001799999914e-02 -3.236753031399999987e-03 1.702604527900000058e-05
1.392682739800000027e-02 -3.342737212499999940e-03 7.400214753399999814e-06
1.401511247299999999e-02 -1.417785629899999964e-03 -9.364581803000000256e-06
1.410392146699999960e-02 -2.062238373800000105e-04 -1.942942652099999981e-05
1.419278468700000025e-02 -8.815088821699999496e-04 -1.530490925300000105e-05
1.428162933800000006e-02 -2.884051567599999876e-03 -2.546119230199999882e-06
1.437050022300000000e-02 -3.265705577300000162e-03 5.662624005899999977e-06
1.445939932799999994e-02 -1.304230782299999926e-03 4.023006400499999936e-06
1.454818760200000081e-02 8.785941118300000241e-05 -3.000440098399999958e-06
1.463702648999999981e-02 -1.074386492399999988e-03 -8.694103561200000583e-06
1.472589328600000004e-02 -3.197948855399999901e-03 -9.920421306800000511e-06
1.481473571999999961e-02 -2.668553764799999964e-03 -8.250366789400000661e-06
1.490353731799999928e-02 -2.590908425700000047e-04 -3.185170132900000123e-06
1.499232027799999971e-02 1.727398975599999981e-05 4.776873892800000287e-06
1.508089714899999920e-02 -2.359649353300000054e-03 7.427893959999999756e-06
1.516966110700000009e-02 -2.985079198399999845e-03 3.698778956899999991e-06
1.525851335700000033e-02 -6.386407956600000145e-04 -1.137454382999999923e-06
1.534729469199999988e-02 5.686631790800000152e-05 -5.645802039200000251e-06
1.543610797600000056e-02 -2.124244669900000014e-03 -5.786646794500000077e-06
1.552493482099999954e-02 -2.543459914399999813e-03 1.341735528099999995e-06
1.561377232199999930e-02 -4.530398202200000167e-04 1.266802151200000062e-05
1.570269502200000167e-02 -6.869457662799999600e-04 2.260197350500000053e-05
1.579156261000000047e-02 -2.517620988500000098e-03 2.391897693100000115e-05
1.588043361300000081e-02 -1.624107582700000081e-03 1.203027990099999966e-05
1.596951000499999967e-02 -4.380882362299999956e-05 -4.183593964400000062e-06
1.605772776199999863e-02 -1.390118068000000028e-03 -1.193389524700000044e-05
1.614650646499999828e-02 -2.385006801700000068e-03 -1.017346851600000065e-05
1.623538525399999960e-02 -8.664699551900000409e-04 -4.018348049399999712e-06
1.632420381099999873e-02 -7.339652528399999648e-04 3.813001523200000020e-06
1.641296885199999833e-02 -2.014073207299999987e-03 7.344668495099999780e-06
1.650177732500000133e-02 -1.485253315800000046e-03 -5.974300667599999923e-07
1.659052478500000136e-02 -9.155375080300000258e-04 -9.974402999199999864e-06
1.667928305800000024e-02 -1.781048928200000070e-03 -4.622395675599999679e-06
1.676807896499999881e-02 -1.442220692199999927e-03 5.739327423200000041e-06
1.685692307600000078e-02 -7.373532064400000223e-04 6.078354618399999901e-06
1.694581025900000065e-02 -1.737872513199999972e-03 -2.044135046699999795e-06
1.703460366399999967e-02 -1.808521206099999914e-03 -1.924930148400000123e-05
1.712341962000000009e-02 -7.354947259900000527e-04 -4.056507861100000191e-05
1.721226456400000090e-02 -1.526544658900000004e-03 -4.648541340699999800e-05
1.730101685200000072e-02 -2.167122305100000011e-03 -3.150427907400000187e-05
