# t, hp, hx
1.010400000000000013e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.019544342999999936e-02 -2.498763505399999828e-03 -8.700105424800000390e-09
1.028420652000000025e-02 -2.473722501600000064e-03 -8.932879412299999607e-08
1.037320005399999974e-02 -2.160120687600000124e-03 -4.007070265000000062e-07
1.046194097699999943e-02 -2.295720710600000075e-03 -4.521551299899999916e-07
1.055075293499999935e-02 -2.380649203500000144e-03 2.896228412900000046e-08
1.063951014199999989e-02 -2.511393453400000055e-03 3.163600092599999807e-07
1.072829092399999948e-02 -2.474406857800000043e-03 -1.598375501600000111e-07
1.081703542099999964e-02 -2.403570865100000155e-03 -9.684757733000000315e-07
1.090584295600000031e-02 -2.559017236799999984e-03 -5.796934781799999955e-07
1.099475228599999972e-02 -2.323302765199999897e-03 1.239745304299999991e-06
1.108353486899999948e-02 -2.180895997500000103e-03 2.456734307000000168e-06
1.117239164099999987e-02 -2.472172738699999952e-03 1.465126950399999972e-06
1.126128472700000001e-02 -2.602020199499999881e-03 -1.119786419499999979e-06
1.135006874199999925e-02 -2.458311589599999816e-03 -3.308420514799999788e-06
1.143888655499999962e-02 -2.712144539000000115e-03 -3.231389833200000105e-06
1.152763562199999973e-02 -2.621471731999999895e-03 -6.383826609300000267e-07
1.161672294499999959e-02 -2.144910449899999939e-03 3.550927071199999947e-06
1.170570980400000016e-02 -2.308413382800000076e-03 8.193617730199999238e-06
1.179475355599999935e-02 -2.551878197099999995e-03 9.545968315599999285e-06
1.188356907199999979e-02 -2.881580136500000010e-03 3.723982769400000203e-06
1.197275032499999989e-02 -2.382657879899999914e-03 -5.733318155300000138e-06
1.206279376799999914e-02 -2.138152394700000049e-03 -1.165884734500000019e-05
1.215158667400000059e-02 -2.724653155599999956e-03 -1.125957693800000057e-05
1.224033689799999998e-02 -2.161832090100000194e-03 -4.941023190800000014e-06
1.232917034899999945e-02 -2.568379110200000141e-03 4.166336518900000398e-06
1.241817138999999973e-02 -3.278544357100000167e-03 1.016271834399999975e-05
1.250722559800000050e-02 -1.653107472799999903e-03 8.948847358199999550e-06
1.259599995099999932e-02 -1.631385002600000030e-03 9.961914103200000029e-07
1.268476438799999960e-02 -3.644222471499999980e-03 -7.668521458699999942e-06
1.277359522600000040e-02 -2.690617220700000124e-03 -7.926399892100000779e-06
1.286235722099999916e-02 -4.839607542800000261e-04 2.970414536000000183e-06
1.295111822900000056e-02 -2.160050435499999942e-03 1.705285018299999836e-05
1.303912320099999932e-02 -4.159752220999999618e-03 2.131634560100000093e-05
1.312787844999999988e-02 -2.314095010800000171e-03 9.274098030299999287e-06
1.321673225799999997e-02 -2.617612431800000116e-04 -9.596472550799999850e-06
1.330555024999999919e-02 -1.437984030599999971e-03 -1.983437157999999833e-05
1.339431864900000012e-02 -3.788169511599999862e-03 -1.559762526700000067e-05
