# ra dec snr
2.232137586622226308e+02 -5.810479038918052908e+01 1.070292261196947692e+01
2.232137586622226308e+02 -5.810479038918052908e+01 1.070292261196947692e+01
2.232137586622226308e+02 -5.810479038918052908e+01 1.070292261196947692e+01
2.232137586622226308e+02 -5.810479038918052908e+01 1.070292261196947692e+01
2.232137586622226308e+02 -5.810479038918052908e+01 1.070292261196947692e+01
1.025179338700770160e+01 -7.293075107082356112e+01 3.856695712718160696e+00
1.025179338700770160e+01 -7.293075107082356112e+01 3.856695712718160696e+00
1.025179338700770160e+01 -7.293075107082356112e+01 3.856695712718160696e+00
1.025179338700770160e+01 -7.293075107082356112e+01 3.856695712718160696e+00
1.025179338700770160e+01 -7.293075107082356112e+01 3.856695712718160696e+00
2.565301791863150811e+02 -3.902418119759422410e+01 3.850651714534655667e+01
2.565301791863150811e+02 -3.902418119759422410e+01 3.850651714534655667e+01
2.565301791863150811e+02 -3.902418119759422410e+01 3.850651714534655667e+01
2.565301791863150811e+02 -3.902418119759422410e+01 3.850651714534655667e+01
2.565301791863150811e+02 -3.902418119759422410e+01 3.850651714534655667e+01
2.682696989930612972e+02 -3.056170156396980175e+01 1.073662712842849913e+02
2.682696989930612972e+02 -3.056170156396980175e+01 1.073662712842849913e+02
2.682696989930612972e+02 -3.056170156396980175e+01 1.073662712842849913e+02
2.682696989930612972e+02 -3.056170156396980175e+01 1.073662712842849913e+02
2.682696989930612972e+02 -3.056170156396980175e+01 1.073662712842849913e+02
8.442745629651254546e+01 -6.848824738918692390e+01 4.509974617619849191e+00
8.442745629651254546e+01 -6.848824738918692390e+01 4.509974617619849191e+00
8.442745629651254546e+01 -6.848824738918692390e+01 4.509974617619849191e+00
8.442745629651254546e+01 -6.848824738918692390e+01 4.509974617619849191e+00
8.442745629651254546e+01 -6.848824738918692390e+01 4.509974617619849191e+00
1.582346103385172853e+01 -7.204019282255781320e+01 3.858615525647766553e+00
1.582346103385172853e+01 -7.204019282255781320e+01 3.858615525647766553e+00
1.582346103385172853e+01 -7.204019282255781320e+01 3.858615525647766553e+00
1.582346103385172853e+01 -7.204019282255781320e+01 3.858615525647766553e+00
1.582346103385172853e+01 -7.204019282255781320e+01 3.858615525647766553e+00
2.703728651866333621e+02 -2.544091833857096319e+01 8.823762587993454076e+01
2.703728651866333621e+02 -2.544091833857096319e+01 8.823762587993454076e+01
2.703728651866333621e+02 -2.544091833857096319e+01 8.823762587993454076e+01
2.703728651866333621e+02 -2.544091833857096319e+01 8.823762587993454076e+01
2.703728651866333621e+02 -2.544091833857096319e+01 8.823762587993454076e+01
2.553013773579459951e+02 -4.924841693539273280e+01 1.628165297226996131e+02
2.553013773579459951e+02 -4.924841693539273280e+01 1.628165297226996131e+02
2.553013773579459951e+02 -4.924841693539273280e+01 1.628165297226996131e+02
2.553013773579459951e+02 -4.924841693539273280e+01 1.628165297226996131e+02
2.553013773579459951e+02 -4.924841693539273280e+01 1.628165297226996131e+02
2.470032737569260917e+02 -4.941825144275799886e+01 5.538452146284962652e+01
2.470032737569260917e+02 -4.941825144275799886e+01 5.538452146284962652e+01
2.470032737569260917e+02 -4.941825144275799886e+01 5.538452146284962652e+01
2.470032737569260917e+02 -4.941825144275799886e+01 5.538452146284962652e+01
2.470032737569260917e+02 -4.941825144275799886e+01 5.538452146284962652e+01
2.726259285971753457e+02 -1.726863464788517177e+01 2.794641133914761610e+01
2.726259285971753457e+02 -1.726863464788517177e+01 2.794641133914761610e+01
2.726259285971753457e+02 -1.726863464788517177e+01 2.794641133914761610e+01
2.726259285971753457e+02 -1.726863464788517177e+01 2.794641133914761610e+01
2.726259285971753457e+02 -1.726863464788517177e+01 2.794641133914761610e+01
2.694569176736367240e+02 -3.043023063340042711e+01 2.491974129509428337e+01
2.694569176736367240e+02 -3.043023063340042711e+01 2.491974129509428337e+01
2.694569176736367240e+02 -3.043023063340042711e+01 2.491974129509428337e+01
2.694569176736367240e+02 -3.043023063340042711e+01 2.491974129509428337e+01
