# ra dec snr
2.463705581891214820e+02 -4.757826224119676795e+01 1.183404067653188179e+02
2.463705581891214820e+02 -4.757826224119676795e+01 1.183404067653188179e+02
2.463705581891214820e+02 -4.757826224119676795e+01 1.183404067653188179e+02
2.463705581891214820e+02 -4.757826224119676795e+01 1.183404067653188179e+02
2.463705581891214820e+02 -4.757826224119676795e+01 1.183404067653188179e+02
1.288635708467942891e+02 -3.803055077624350133e+01 2.750147843046475060e+01
1.288635708467942891e+02 -3.803055077624350133e+01 2.750147843046475060e+01
1.288635708467942891e+02 -3.803055077624350133e+01 2.750147843046475060e+01
1.288635708467942891e+02 -3.803055077624350133e+01 2.750147843046475060e+01
1.288635708467942891e+02 -3.803055077624350133e+01 2.750147843046475060e+01
2.003644426703312718e+02 -6.395409098160644135e+01 4.406632253269611965e+01
2.003644426703312718e+02 -6.395409098160644135e+01 4.406632253269611965e+01
2.003644426703312718e+02 -6.395409098160644135e+01 4.406632253269611965e+01
2.003644426703312718e+02 -6.395409098160644135e+01 4.406632253269611965e+01
2.003644426703312718e+02 -6.395409098160644135e+01 4.406632253269611965e+01
2.697736793527297436e+02 -1.930177414671216951e+01 7.681920256641288347e+01
2.697736793527297436e+02 -1.930177414671216951e+01 7.681920256641288347e+01
2.697736793527297436e+02 -1.930177414671216951e+01 7.681920256641288347e+01
2.697736793527297436e+02 -1.930177414671216951e+01 7.681920256641288347e+01
2.697736793527297436e+02 -1.930177414671216951e+01 7.681920256641288347e+01
1.991788698699046734e+02 -6.416102605023962724e+01 1.465219945179194099e+02
1.991788698699046734e+02 -6.416102605023962724e+01 1.465219945179194099e+02
1.991788698699046734e+02 -6.416102605023962724e+01 1.465219945179194099e+02
1.991788698699046734e+02 -6.416102605023962724e+01 1.465219945179194099e+02
1.991788698699046734e+02 -6.416102605023962724e+01 1.465219945179194099e+02
1.697601562775493989e+01 -7.225647261066227145e+01 1.339726526936895645e+01
1.697601562775493989e+01 -7.225647261066227145e+01 1.339726526936895645e+01
1.697601562775493989e+01 -7.225647261066227145e+01 1.339726526936895645e+01
1.697601562775493989e+01 -7.225647261066227145e+01 1.339726526936895645e+01
1.697601562775493989e+01 -7.225647261066227145e+01 1.339726526936895645e+01
8.300168291780200036e+01 -6.892605409808501804e+01 3.555790533050331703e+01
8.300168291780200036e+01 -6.892605409808501804e+01 3.555790533050331703e+01
8.300168291780200036e+01 -6.892605409808501804e+01 3.555790533050331703e+01
8.300168291780200036e+01 -6.892605409808501804e+01 3.555790533050331703e+01
8.300168291780200036e+01 -6.892605409808501804e+01 3.555790533050331703e+01
7.257378313514708168e+01 -6.949276893397090760e+01 6.110504342991002424e+00
7.257378313514708168e+01 -6.949276893397090760e+01 6.110504342991002424e+00
7.257378313514708168e+01 -6.949276893397090760e+01 6.110504342991002424e+00
7.257378313514708168e+01 -6.949276893397090760e+01 6.110504342991002424e+00
7.257378313514708168e+01 -6.949276893397090760e+01 6.110504342991002424e+00
